category,Standard_product,,,,,,
Beef,牛前筒骨,,,,,,
Beef,牛腩,,,,,,
Beef,牛下肩肉眼卷,,,,,,
Beef,肩胛板翼,,,,,,
Beef,牛仔扒,,,,,,
Beef,牛冧,,,,,,
Beef,鯉魚管,,,,,,
Beef,牛肋條,,,,,,
Beef,金錢𦟌,,,,,,
Beef,牛𦟌,,,,,,
Beef,牛柳頭,,,,,,
Beef,牛肉眼,,,,,,
Beef,有骨肉眼,,,,,,
Beef,斧頭扒,,,,,,
Beef,西冷,,,,,,
Beef,牛柳,,,,,,
Beef,牛板腱,,,,,,
Beef,牛T骨,,,,,,
Beef,牛仔骨,,,,,,
Beef,肩胛肥牛肉,,,,,,
Beef,去骨牛小排,,,,,,
Beef,Pastrami,,,,,,
Beef,SuperPlate肥牛肉,,,,,,
Beef,封門柳,,,,,,
Beef,白牛仔湯骨,,,,,,
Beef,白牛仔扒,,,,,,
Beef,白牛仔扒,,,,,,
Beef,牛肺,,,,,,
Beef,牛百葉,,,,,,
Beef,牛金錢肚,,,,,,
Beef,牛骨髓,,,,,,
Beef,牛肚,,,,,,
Beef,牛孖筋,,,,,,
Beef,牛大腸,,,,,,
Beef,牛尾,,,,,,
Beef,牛舌,,,,,,
Pork,豬梅肉,,,,,,
Pork,豬二肉,,,,,,
Pork,豬扒,,,,,,
Pork,豬肉眼,,,,,,
Pork,豬背骨,,,,,,
Pork,豬腩帶骨,,,,,,
Pork,豬腩挑骨,,,,,,
Pork,豬肋排,,,,,,
Pork,豬四肉,,,,,,
Pork,豬脊膘油,,,,,,
Pork,豬下梅肉,,,,,,
Pork,豬扒法式,,,,,,
Pork,豬肋條,,,,,,
Pork,豬手,,,,,,
Pork,豬腿筒骨,,,,,,
Pork,豬頸湯骨,,,,,,
Pork,豬腩排條,,,,,,
Pork,豬軟骨,,,,,,
Lamb,白山羊帶皮,,,,,,
Lamb,羊仔肩捲肉,,,,,,
Lamb,羊仔肩有骨方切,,,,,,
Lamb,羊仔骨排,,,,,,
Lamb,法式羊架,,,,,,
Lamb,羊腩,,,,,,
Lamb,羊仔髀帶骨,,,,,,
Lamb,羊仔髀肉,,,,,,
Chicken,春雞,,,,,,
Chicken,雞腎,,,,,,
Chicken,雞大胸,,,,,,
Chicken,雞白髀,,,,,,
Chicken,雞上腿肉,,,,,,
Chicken,雞扒,,,,,,
Chicken,雞柳,,,,,,
Chicken,雞軟骨,,,,,,
Chicken,雞翼鎚,,,,,,
Chicken,雞腳,,,,,,
Chicken,火雞子,,,,,,
Poultry,鴨腳,,,,,,
Poultry,鵝半翼,,,,,,
