,product_id,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
20,1626, 美  IBP    肥牛肉 No Roll Short Plate $26.5 其士,SHORT PLATE肥牛,金山,Beef,抄,美國,IBP,2024-04-13,NR,,,,,,26.50,LB,其士,
19,1625,美 Excel  肥牛肉 No Roll Short Plate $26.5 其士,SHORT PLATE肥牛,金山,Beef,抄,美國,EXCEL,2024-04-13,NR,,,,,,26.50,LB,其士,
9,1591,抄巴西PUL肥牛short plate $19.8/磅 嘉威,SHORT PLATE肥牛,美亞,Beef,抄,巴西,PUL,2024-04-12,,,,,,,19.80,LB,嘉威,
21,1627, 愛 Dawn Meat 肥牛肉(Super Plate)   $23.5 其士,SUPERPLATE肥牛肉,金山,Beef,抄,愛爾蘭,DAWN MEAT,2024-04-13,,,,,,,23.50,LB,其士,
22,1628, 英國  Kepak 肥牛肉  Super Plate  $23.5 其士,SUPERPLATE肥牛肉,金山,Beef,抄,英國,KEPAK,2024-04-13,,,,,,,23.50,LB,其士,
23,1629, 英國     肥牛肉   Upper Plate  $23.5 其士,UPPER PLATE,金山,Beef,抄,英國,PIF PAF,2024-04-13,,,,,,,23.50,LB,其士,
10,1590,抄巴西 MV牛尾 $14.8/磅 嘉威,牛尾,美亞,Beef,抄,巴西,MINERVA,2024-04-12,,,,,,,14.80,LB,嘉威,
26,1632, 巴     Dom Glutao   牛筒骨  $5 其士,牛筒骨,金山,Beef,抄,巴西,DOM GLUTAO,2024-04-13,,,,,,,5.00,LB,其士,
11,1589,抄巴西ANGLO牛腩 $12.8/磅 嘉威,牛腩,美亞,Beef,抄,巴西,ANGLO,2024-04-12,,,,,,,12.80,LB,嘉威,
0,1588,抄巴西PUL牛腩 $12.5/磅 嘉威,牛腩,美亞,Beef,抄,巴西,PUL,2024-04-12,,,,,,,12.50,LB,嘉威,
8,1592,抄 巴西 直身900+ MV牛利 $9.4/磅 嘉威,牛舌,美亞,Beef,抄,巴西,MINERVA,2024-04-12,+900G,直,,,,,9.40,LB,嘉威,
24,1630, 巴     Dom Glutao   牛頸骨   $5 其士,牛頸骨,金山,Beef,抄,巴西,DOM GLUTAO,2024-04-13,,,,,,,5.00,LB,其士,
25,1631, 巴      Masterboi      牛頸骨  $5 其士,牛頸骨,金山,Beef,抄,巴西,MASTERBOI,2024-04-13,,,,,,,5.00,LB,其士,
36,1607,10K AURORA  豬大腸   $13 其士,豬大腸,鴻泰,Pork,10kg,,AURORA,2024-04-13,,,,,,,13.00,LB,其士,
3,1601,抄巴西FRIVATTI削骨大排 $9.5光一,豬扒,新興,Pork,抄,巴西,FRIVATTI,2024-04-12,削骨,,,,,,9.50,LB,光1,
6,1598,抄巴西FRIMESA大排 $9.2光一,豬扒,新興,Pork,抄,巴西,FRIMESA,2024-04-12,,,,,,,9.20,LB,光1,
4,1600,抄巴西AURORA削骨大排 $9.2光一,豬扒,新興,Pork,抄,巴西,AURORA,2024-04-12,削骨,,,,,,9.20,LB,光1,
5,1599,抄巴西SEARA削骨大排 $9.0光一,豬扒,新興,Pork,抄,巴西,SEARA,2024-04-12,削骨,,,,,,9.00,LB,光1,
12,1597,抄巴西PAMPLONA大排 $8.8 光一,豬扒,新興,Pork,抄,巴西,PAMPLONA,2024-04-12,,,,,,,8.80,LB,光1,
2,1602,抄巴西 aLIBEM削骨大排 $9.5光一,豬扒,新興,Pork,抄,巴西,ALIBEM,2024-04-12,削骨,,,,,,9.50,LB,光1,
34,1609,20K FM727  梅肉  $11LB  其士,豬梅肉,鴻泰,Pork,20kg,,FRIMESA,2024-04-13,,,,,,,11.00,LB,其士,
35,1608,抄  SEARA  梅肉  $10.7LB  其士,豬梅肉,鴻泰,Pork,抄,,SEARA,2024-04-13,,,,,,,10.70,LB,其士,
31,1612,抄巴西Alegra梅肉 $10.8其士,豬梅肉,金山,Pork,抄,巴西,ALEGRA,2024-04-13,,,,,,,10.80,LB,其士,
28,1615,抄巴西Palmali 梅肉 $10.6其士,豬梅肉,金山,Pork,抄,巴西,PALMALI,2024-04-13,,,,,,,10.60,LB,其士,
30,1613,抄巴西Sadia 梅肉 $10.6其士,豬梅肉,金山,Pork,抄,巴西,SADIA,2024-04-13,,,,,,,10.60,LB,其士,
33,1610,抄  ALEGRA  梅肉  $10.3  其士,豬梅肉,鴻泰,Pork,抄,,ALEGRA,2024-04-13,,,,,,,10.30,LB,其士,
32,1611,25K AURORA  梅肉  $10.3  其士,豬梅肉,鴻泰,Pork,25kg,,AURORA,2024-04-13,,,,,,,10.30,LB,其士,
29,1614,抄巴西Seara 梅肉 $10.2其士,豬梅肉,金山,Pork,抄,巴西,SEARA,2024-04-13,,,,,,,10.20,LB,其士,
27,1616,抄巴西Frimesa 梅肉 $10.8 其士,豬梅肉,金山,Pork,抄,巴西,FRIMESA,2024-04-13,,,,,,,10.80,LB,其士,
39,1604,25K AURORA  分包肋排$11.8  其士,豬肋排,鴻泰,Pork,25kg,,AURORA,2024-04-13,1.8KG,分包,,,,,11.80,PC,其士,
38,1605,25K AURORA  分包肋排  $12  其士,豬肋排,鴻泰,Pork,25kg,,AURORA,2024-04-13,分包,,,,,,12.00,PC,其士,
37,1606,抄 FRICASA  帶骨豬腩   $13.8   其士,豬腩帶骨,鴻泰,Pork,抄,,,2024-04-13,帶骨,,,,,,13.80,LB,其士,
18,1624,抄 巴     Dom Glutao   牛筒骨  $5 其士,豬腿筒骨,金山,Pork,抄,巴西,DOM GLUTAO,2024-04-13,,,,,,,5.00,LB,其士,
16,1622,抄 巴     Dom Glutao   牛頸骨   $5 其士,豬頸骨,金山,Pork,抄,巴西,DOM GLUTAO,2024-04-13,,,,,,,5.00,LB,其士,
17,1623,抄 巴      Masterboi      牛頸骨  $5 其士,豬頸骨,金山,Pork,抄,巴西,MASTERBOI,2024-04-13,,,,,,,5.00,LB,其士,
1,1587,抄巴西ANGLO 金展  $26.8/磅 嘉威,金錢𦟌,美亞,Beef,抄,巴西,ANGLO,2024-04-12,,,,,,,26.80,LB,嘉威,
7,1596,10K 烏克蘭 IQF 中亦 2.5x4 $12.4 LB 其士,雞中翼,百利,Chicken,10kg,中國,,2024-04-12,2.5KX4,IQF,,,,,12.40,LB,其士,
40,1603,15K  巴西 RICO 中亦   $16.8LB 其士 ,雞中翼,鴻泰,Chicken,15kg,巴西,RICO,2024-04-13,,,,,,,16.80,LB,其士,
