,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
1,抄碼 245E廠 IBP PRIME 三角肥牛,肩胛肥牛肉,萬祥,BEEF,抄,美國,IBP,2024-01-09,245E廠,PRIME,,,,,76.0,lb,光1,
2,抄碼 86M廠 EXCEL CAB 牛小排,去骨牛小排,萬祥,BEEF,抄,美國,EXCEL,2024-01-09,86M廠,CAB,,,,,125.0,lb,裕林,
3,抄碼 278廠 IBP CHOICE 牛小排,去骨牛小排,萬祥,BEEF,抄,美國,IBP,2024-01-09,278廠,CHOICE,,,,,110.0,lb,裕林,
4,抄碼 245E廠 IBP CAB 肩胛肥牛,肩胛肥牛肉,萬祥,BEEF,抄,美國,IBP,2024-01-09,245E廠,CAB,,,,,61.0,lb,裕林,
5,抄碼 86K廠 EXCEL CHOICE 三支牛仔骨,牛仔骨,萬祥,BEEF,抄,美國,EXCEL,2024-01-09,86K廠,CHOICE,,,,,46.0,lb,裕林,
6,抄碼 86M 廠 EXCEL 肥牛(SHORT PLATE),SHORT PLATE肥牛,萬祥,BEEF,抄,美國,EXCEL,2024-01-09,86M廠,,,,,,19.6,lb,裕林,
7,抄碼 93 廠 EXCEL 肥牛(SHORT PLATE),SHORT PLATE肥牛,萬祥,BEEF,抄,加拿大,EXCEL,2024-01-09,93廠,,,,,,19.6,lb,裕林,
9,抄碼 GJ 牛冧,牛冧,萬祥,BEEF,抄,巴西,GJ,2024-01-09,,,,,,,19.6,lb,裕林,
10,抄碼 QUALITY BEEF 牛冧,牛冧,萬祥,BEEF,抄,巴西,QUALITY BEEF,2024-01-09,,,,,,,19.4,lb,裕林,
11,抄碼 COTO 牛舌900G+,牛舌,萬祥,BEEF,抄,阿根廷,COTO,2024-01-09,+900G,,,,,,8.2,lb,裕林,
12,抄碼 NEW BRAND牛舌900G+,牛舌,萬祥,BEEF,抄,巴西,NEW BRAND,2024-01-09,+900G,,,,,,8.9,lb,裕林,
13,抄碼 GJ 牛舌900G+(捲),牛舌,萬祥,BEEF,抄,巴西,GJ,2024-01-09,+900G,,,,,,7.6,lb,裕林,
14,抄碼 RAMAX 西冷 3.5KG+,西冷,萬祥,BEEF,抄,巴西,RAMAX,2024-01-09,3.5K+,,,,,,21.8,lb,裕林,
15,抄碼 RAMAX 牛柳頭 1.5KG+,牛柳頭,萬祥,BEEF,抄,巴西,RAMAX,2024-01-09,1.5K+,,,,,,22.4,lb,裕林,
16,抄碼 PLENA 牛肋條,牛肋條,萬祥,BEEF,抄,巴西,PLENA,2024-01-09,,,,,,,24.5,lb,裕林,
17,抄碼 PLENA 金錢展,金錢𦟌,萬祥,BEEF,抄,巴西,PLENA,2024-01-09,,,,,,,29.0,lb,裕林,
18,12KG PLENA 免治牛肉 500G/包,免治牛肉,萬祥,BEEF,12kg,巴西,PLENA,2024-01-09,500G,,,,,,11.0,lb,裕林,
20,22KG ALIBEM 分包豬肋排,豬肋排,萬祥,PORK,22kg,巴西,ALIBEM,2024-01-09,分包,,,,,,12.8,lb,裕林,
21,抄碼 ALIBEM 豬梅肉,豬梅肉,萬祥,PORK,抄,巴西,ALIBEM,2024-01-09,,,,,,,10.6,lb,裕林,
22,15KG PIFPAF 帶皮挑骨中方豬腩(3塊/箱),中方豬腩,萬祥,PORK,15kg,巴西,PIF PAF,2024-01-09,帶皮,挑骨,,,,,13.3,lb,裕林,
23,A4 和牛西冷,和牛西冷,萬祥,WAGYU,,日本,,2024-01-09,A4,,,,,,,kg,裕林,
24,A5 和牛西冷,和牛西冷,萬祥,WAGYU,,日本,,2024-01-09,A5,,,,,,,kg,裕林,
25,A5特 和牛西冷,和牛西冷,萬祥,WAGYU,,日本,,2024-01-09,A5,A5特,,,,,,kg,裕林,
27,A3 和牛肉眼,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-09,A3,,,,,,,kg,裕林,
28,A4 和牛肉眼,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-09,A4,,,,,,,kg,裕林,
29,A5 和牛肉眼,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-09,A5,,,,,,620.0,kg,裕林,
30,A5特 和牛肉眼,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-09,A5,A5特,,,,,680.0,kg,裕林,
32,A3 和牛帶蓋肉眼西冷,和牛帶蓋肉眼,萬祥,WAGYU,,日本,,2024-01-09,A3,,,,,,390.0,kg,裕林,
33,A4 和牛帶蓋肉眼西冷,和牛帶蓋肉眼,萬祥,WAGYU,,日本,,2024-01-09,A4,,,,,,450.0,kg,裕林,
34,A5 和牛帶蓋肉眼西冷,和牛帶蓋肉眼,萬祥,WAGYU,,日本,,2024-01-09,A5,,,,,,480.0,kg,裕林,
36,A3 和牛肉眼西冷,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-09,A3,,,,,,,kg,裕林,
37,A5 和牛肉眼西冷,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-09,A5,,,,,,620.0,kg,裕林,
38,A5特 和牛肉眼西冷,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-09,A5,A5特,,,,,700.0,kg,裕林,
40,A4 和牛肉眼 (細切),和牛肉眼,萬祥,WAGYU,,日本,,2024-01-09,A4,細切,,,,,,kg,裕林,
41,A4 和牛西冷(細切),和牛西冷,萬祥,WAGYU,,日本,,2024-01-09,A4,細切,,,,,,kg,裕林,
42,A5 和牛肉眼(細切),和牛肉眼,萬祥,WAGYU,,日本,,2024-01-09,A5,細切,,,,,,kg,裕林,
43,A5 和牛西冷(細切),和牛西冷,萬祥,WAGYU,,日本,,2024-01-09,A5,細切,,,,,,kg,裕林,
44,和牛上腦(細切),和牛上腦,萬祥,WAGYU,,日本,,2024-01-09,細切,,,,,,,kg,裕林,
45,和牛三角肥牛(細切),和牛三角,萬祥,WAGYU,,日本,,2024-01-09,細切,,,,,,,kg,裕林,
48,A5特 和牛牛柳,和牛牛柳,萬祥,WAGYU,,日本,,2024-01-09,A5,A5特,,,,,720.0,kg,裕林,
49,A5特 和牛牛冧,和牛牛冧,萬祥,WAGYU,,日本,,2024-01-09,A5,A5特,,,,,,kg,裕林,
50,A5特 和牛針扒,和牛針扒,萬祥,WAGYU,,日本,,2024-01-09,A5,A5特,,,,,360.0,kg,裕林,
51,A5特 和牛燴扒,和牛燴扒,萬祥,WAGYU,,日本,,2024-01-09,A5,A5特,,,,,360.0,kg,裕林,
52,A5特 和牛尾扒,和牛尾扒,萬祥,WAGYU,,日本,,2024-01-09,A5,A5特,,,,,,kg,裕林,
53,和牛三筋(板鍵),和牛三筋,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,,kg,裕林,
54,和牛肉眼蓋,和牛肉眼,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,,kg,裕林,
55,和牛牛柳,和牛牛柳,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,700.0,kg,裕林,
56,和牛牛腩排,和牛牛腩,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,,kg,裕林,
57,和牛牛胸,和牛牛胸,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,340.0,kg,裕林,
58,和牛牛仔骨,和牛牛仔骨,萬祥,WAGYU,,日本,,2024-01-09,,,,,,,340.0,kg,裕林,
