,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightunit,warehouse,notes
1,抄碼 86M廠 EXCEL CAB 牛小排,去骨牛小排,萬祥,Beef,抄,美國,excel,萬祥20230802.pdf,,,,,,,$113.0,lb,['裕林'],
2,抄碼 245L 廠 IBP CHOICE 牛小排,去骨牛小排,萬祥,Beef,抄,美國,,萬祥20230802.pdf,choice,,,,,,$103.0,lb,['光輝1倉'],
3,抄碼 86K廠 EXCEL CHOICE 三支牛仔骨,牛仔骨,萬祥,Beef,抄,美國,excel,萬祥20230802.pdf,choice,,,,,,$39.0,lb,['裕林'],
4,抄碼 86E廠 EXCEL CAB 三支牛仔骨,牛仔骨,萬祥,Beef,抄,美國,excel,萬祥20230802.pdf,,,,,,,$42.0,lb,['裕林'],
6,抄碼 PLENA 3/4牛柳(去邊),牛柳,萬祥,Beef,抄,巴西,plena,萬祥20230802.pdf,3/4,,,,,,$36.0,lb,['裕林'],
7,抄碼 PLENA 4/5牛柳(去邊),牛柳,萬祥,Beef,抄,巴西,plena,萬祥20230802.pdf,,,,,,,$38.0,lb,['裕林'],
8,抄碼 ANGLO 牛冧,牛冧,萬祥,Beef,抄,巴西,,萬祥20230802.pdf,,,,,,,$17.0,lb,"['光輝1倉', '裕林']",
9,抄碼 PLENA 牛冧 5KG+,牛冧,萬祥,Beef,抄,巴西,plena,萬祥20230802.pdf,,,,,,,$17.2,lb,"['光輝1倉', '裕林']",
10,抄碼 MINERVA 牛冧,牛冧,萬祥,Beef,抄,巴西,,萬祥20230802.pdf,,,,,,,$17.2,lb,['裕林'],
11,抄碼 GJ 牛冧,牛冧,萬祥,Beef,抄,巴西,,萬祥20230802.pdf,,,,,,,$17.8,lb,['裕林'],
12,抄碼 GJ 牛腩,牛腩,萬祥,Beef,抄,巴西,,萬祥20230802.pdf,,,,,,,$13.3,lb,['裕林'],
13,抄碼 NEW BRAND牛舌900G+,牛舌,萬祥,Beef,抄,巴西,,萬祥20230802.pdf,900+,,,,,,$9.5,lb,['裕林'],
14,"抄碼 PLENA 牛舌900G+(直利, 大條)",牛舌,萬祥,Beef,抄,巴西,plena,萬祥20230802.pdf,900+,直,,,,,$10.5,lb,['裕林'],
15,抄碼 RAMAX 西冷3.5KG+,西冷,萬祥,Beef,抄,巴西,,萬祥20230802.pdf,3.5k+,,,,,,$19.8,lb,['裕林'],
16,抄碼 RAMAX 牛柳頭1.5KG+ (直身),牛柳頭,萬祥,Beef,抄,巴西,,萬祥20230802.pdf,1.5k+,直,,,,,$19.8,lb,['裕林'],
17,抄碼 PLENA 金錢展,,萬祥,Beef,抄,巴西,plena,萬祥20230802.pdf,,,,,,,$25.0,lb,['裕林'],
19,抄碼 PALMALI 四肉,豬四肉,萬祥,Pork,抄,巴西,,萬祥20230802.pdf,,,,,,,$8.4,lb,['裕林'],
20,抄碼 NOTABLE 四肉,豬四肉,萬祥,Pork,抄,巴西,,萬祥20230802.pdf,,,,,,,$8.4,lb,['裕林'],
21,抄碼 ALEGRA 削骨豬扒,豬扒,萬祥,Pork,抄,巴西,,萬祥20230802.pdf,削骨,,,,,,$8.5,lb,['裕林'],
22,抄碼 LANGUIRU 帶骨豬扒,豬扒,萬祥,Pork,抄,巴西,,萬祥20230802.pdf,帶骨,,,,,,$7.8,lb,['光輝1倉'],
23,抄碼 TONNIES 去皮挑骨豬腩(去軟骨),豬腩挑骨,萬祥,Pork,抄,德國,tonnies,萬祥20230802.pdf,去軟骨,挑骨,,,,,$14.8,lb,['裕林'],
24,"抄碼 CDI 帶皮片骨豬腩(厚身,不肥)",,萬祥,Pork,抄,阿根廷,,萬祥20230802.pdf,帶皮,,,,,,$11.0,lb,['裕林'],
25,25KG 王者至尊梅肉 (靚),豬梅肉,萬祥,Pork,25kg,中國,王者至尊,萬祥20230802.pdf,,,,,,,$58.0,kg,['裕林'],
26,25KG 精品豬肉青(綠字) 200G+,,萬祥,Pork,25kg,中國,,萬祥20230802.pdf,200+,,,,,,$35.0,kg,['裕林'],
27,"20KG 豬寸骨(1KG/包, 啡盒)",,萬祥,Pork,20kg,中國,,萬祥20230802.pdf,,,,,,,$53.0,kg,['裕林'],
29,15KG PIFPAF 雞中翼 35G+(蜂巢層裝),雞中翼,萬祥,Chicken,15kg,巴西,,萬祥20230802.pdf,層裝,,,,,,$11.5,lb,['裕林'],
30,15KG PIFPAF 雞中翼 40G+(蜂巢層裝),雞中翼,萬祥,Chicken,15kg,巴西,,萬祥20230802.pdf,40+,層裝,,,,,$11.5,lb,['裕林'],
31,15KG CASE FARM 鳳爪,鳳爪,萬祥,Chicken,15kg,美國,casefarm,萬祥20230802.pdf,,,,,,,$7.8,lb,['裕林'],
32,15KG FRIVAES 鳳爪 (A GRADE),鳳爪,萬祥,Chicken,15kg,巴西,,萬祥20230802.pdf,,,,,,,$7.5,lb,['裕林'],
34,15KG 納晨 300+雞扒,雞扒,萬祥,Chicken,15kg,中國,納晨,萬祥20230802.pdf,300+,,,,,,$8.2,lb,['裕林'],
35,12KG 納晨帶皮雞上脾,,萬祥,Chicken,12kg,中國,納晨,萬祥20230802.pdf,帶皮,,,,,,$15.8,kg,"['嘉威倉', '裕林']",
36,12KG 納晨去皮雞上脾,,萬祥,Chicken,12kg,中國,納晨,萬祥20230802.pdf,,,,,,,$18.0,kg,['裕林'],
37,12KG 納晨 去皮雞大胸,雞大胸,萬祥,Chicken,12kg,中國,納晨,萬祥20230802.pdf,,,,,,,$14.5,kg,['裕林'],
38,10KG 納晨 IQF雞小胸,雞柳,萬祥,Chicken,10kg,中國,納晨,萬祥20230802.pdf,,,,,,,$15.3,kg,"['嘉威倉', '裕林']",
39,A5 和牛帶蓋肉眼西冷,牛肉眼,萬祥,Beef,,日本,,萬祥20230802.pdf,,,,,,,$540.0,kg,['裕林'],
41,A3 和牛肉眼西冷,牛肉眼,萬祥,Beef,,日本,,萬祥20230802.pdf,,,,,,,$540.0,kg,['裕林'],
42,A4 和牛肉眼西冷,牛肉眼,萬祥,Beef,,日本,,萬祥20230802.pdf,,,,,,,$580.0,kg,['裕林'],
43,A5 和牛肉眼西冷,牛肉眼,萬祥,Beef,,日本,,萬祥20230802.pdf,,,,,,,$620.0,kg,['裕林'],
