,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
0,2022/11/9,,哲朗,,,,,Invalid date format,,,,,,,,lb,[],
1,24P 美國 寶鵰 無抗生素雞肉腸 $14.00 /P 沙/光1 20K 日本 IK 翼尖 $7.00 /P N 沙2,,哲朗,,20kg,美國,,Invalid date format,,,,,,,7.00,kg,"['沙2', '光1']",
2,18K 巴西 Diplomata翼尖 $4.60 /P 沙2,,哲朗,,18kg,巴西,DIPLOMATA,Invalid date format,,,,,,,4.60,kg,['沙2'],
3,10K 美國 真寶山 7470 珍寶爪 45G+$21.20 /P ▼ 沙2,,哲朗,,10kg,美國,,Invalid date format,,,,,,,21.20,kg,['沙2'],
4,"15K 日本 北海 仿蟹柳 60包 $1,300 /箱♦ 沙2 10K 美國 寶鵰 6149 珍寶爪 $14.50 /P 沙2",仿蟹柳,哲朗,PREMADE,10kg,美國,,Invalid date format,+300G,,,,,,14.50,kg,['沙2'],
5,10K 日本 IK 特選鳯爪 $15.50 /P N 沙2,,哲朗,,10kg,,,Invalid date format,,,,,,,15.50,kg,['沙2'],
6,10K 日本 鳯爪 $10.00 /P 光1,,哲朗,,10kg,,,Invalid date format,,,,,,,10.00,kg,['光1'],
7,22.5P 波蘭 Lech 30包 雞肉腸 $210 /箱♦ 沙2 15K 巴西 Guibon 鳯爪 $4.20 /P 沙2,,哲朗,,15kg,巴西,,Invalid date format,,,,,,,4.20,kg,['沙2'],
8,15K 巴西 Friato 50G+ 雞腳 $7.80 /P 沙2,,哲朗,,15kg,巴西,FRIALTO,Invalid date format,50G+,,,,,,7.80,kg,['沙2'],
9,21P 巴西 Seara 28包 雞肉腸 $7.00 /P ♦ 沙2 15K 巴西 Uniaves50G+ 雞腳 $6.20 /P 嘉威,,哲朗,,15kg,巴西,UNIAVES,Invalid date format,50G+,,,,,,6.20,kg,"['沙2', '嘉威']",
10,10K 泰國 J Group 35G+ 雞中翼 $43.00 /K ♦ 沙2 15K 美國 Mountaire珍寶脾 (餅裝) $7.20 /P N 沙2,雞中翼,哲朗,CHICKEN,10kg,美國,,Invalid date format,,,,,,,7.20,kg,['沙2'],
11,40P 美國 寶鵰 珍寶脾 (餅裝) /P 沙2,,哲朗,,,美國,,Invalid date format,,,,,,,,lb,['沙2'],
12,15K 巴西 Aurora 雞全脾 $6.30 /P 沙2,,哲朗,,15kg,巴西,AURORA,Invalid date format,,,,,,,6.30,kg,['沙2'],
13,10K 泰國 Sunfood雞扒 /K,雞扒,哲朗,CHICKEN,10kg,,,Invalid date format,,,,,,,,kg,[],
14,10K 泰國 Sunfood小胸 $36.00 /K 沙2 18K 巴西 Diplomata雞中翼 $13.20 /P 沙2,雞柳,哲朗,CHICKEN,10kg,巴西,DIPLOMATA,Invalid date format,,,,,,,13.20,kg,['沙2'],
15,10K 泰國 Sunfood去皮大胸 $36.00 /K 沙2 15K 巴西 Friato IQF 雞中翼 $11.40 /P 沙2,雞中翼,哲朗,CHICKEN,10kg,巴西,FRIALTO,Invalid date format,去皮,,,,,,11.40,kg,['沙2'],
16,15K 巴西 Superfrango雞中翼 $9.60 /P 沙2,雞中翼,哲朗,CHICKEN,15kg,巴西,,Invalid date format,,,,,,,9.60,kg,['沙2'],
17,15K 中國 欣城 250G+ 雞扒 $8.40 /P 沙2 15K 巴西 Aurora 100G+ 全翼 $7.20 /P ▲ 沙2,雞扒,哲朗,CHICKEN,15kg,巴西,AURORA,Invalid date format,+200G,100G+,50G+,,,,7.20,kg,['沙2'],
18,15K 中國 欣城 300G+ 雞扒 $8.60 /P 沙2,雞扒,哲朗,CHICKEN,15kg,中國,,Invalid date format,+300G,,,,,,8.60,kg,['沙2'],
19,12K 中國 欣城 有皮脾肉 $17.20 /K ▼ 沙2 12K 巴西 Aurora 有皮脾肉 $10.20 /P 沙2,,哲朗,,12kg,巴西,AURORA,Invalid date format,帶皮,,,,,,10.20,kg,['沙2'],
20,12K 中國 欣城 去皮脾肉 /K,,哲朗,,12kg,中國,,Invalid date format,去皮,,,,,,,kg,[],
21,12K 中國 欣城 去皮大胸 /K 12K 巴西 Aurora 雞軟骨 $15.80 /P 沙2,,哲朗,,12kg,巴西,AURORA,Invalid date format,去皮,,,,,,15.80,kg,['沙2'],
22,10K 中國 欣城 IQF 小胸 $16.00 /K 沙2 12K 巴西 Seara 雞軟骨 $13.80 /P 沙2,雞柳,哲朗,CHICKEN,10kg,巴西,,Invalid date format,,,,,,,13.80,kg,['沙2'],
23,10K 中國 欣城 50G+ 中翼 $21.00 /P 沙2,雞中翼,哲朗,CHICKEN,10kg,中國,,Invalid date format,50G+,,,,,,21.00,kg,['沙2'],
24,15K 中國 欣城 雞殼 $2.90 /P 沙2 溫氏冰雞,,哲朗,,15kg,中國,,Invalid date format,,,,,,,2.90,kg,['沙2'],
25,15K 中國 欣城 200/220G 全脾 $7.60 /P ▲ 沙2 抄 中國 溫氏 12隻 (1.7 - 1.8) $30.80 /K▲ 沙2,,哲朗,,抄,中國,,Invalid date format,+200G,,,,,,30.80,kg,['沙2'],
26,15K 中國 欣城 220/240G 全脾 $7.60 /P 沙2 抄 中國 溫氏 13隻 (1.6 - 1.7) $30.80 /K N 沙2,,哲朗,,抄,中國,,Invalid date format,220/240,,,,,,30.80,kg,['沙2'],
27,15K 中國 欣城 240/260G 全脾 $7.70 /P ▲ 沙2 抄 中國 溫氏 14隻 (1.5 - 1.6) $30.80 /K N 沙2,,哲朗,,抄,中國,,Invalid date format,240/260,,,,,,30.80,kg,['沙2'],
28,15K 中國 欣城 260/280G 全脾 $7.70 /P 沙2 抄 中國 溫氏 16隻 (1.4 - 1.5) $30.80 /K N 沙2,,哲朗,,抄,中國,,Invalid date format,260/280,,,,,,30.80,kg,['沙2'],
29,15K 中國 欣城 280/300G 全脾 $7.50 /P 沙2 抄 中國 溫氏 18隻 (1.2 - 1.3) $30.80 /K N 沙2,,哲朗,,抄,中國,,Invalid date format,+300G,280/300,,,,,30.80,kg,['沙2'],
30,15K 中國 欣城 300/320G 全脾 $7.20 /P 沙2 抄 中國 溫氏 19隻 (1.1 - 1.2) $30.80 /K▲ 沙2,,哲朗,,抄,中國,,Invalid date format,+300G,300/320,,,,,30.80,kg,['沙2'],
31,15K 中國 欣城 320/340G 全脾 $7.20 /P 沙2 抄 中國 溫氏 26隻 竹絲雞 $29.50/隻N 沙2,,哲朗,,抄,中國,,Invalid date format,,,,,,,29.50,kg,['沙2'],
32,2022/11/9,,哲朗,,,,,Invalid date format,,,,,,,,lb,[],
