,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
0,巴西 牛腩(),牛腩,新兴,BEEF,抄碼,巴西,PUL,2024-01-02,,,,,,,19.5P,lb,光1,
1,巴西 牛冧(GJ),牛冧,新兴,BEEF,抄碼,巴西,,2024-01-02,,,,,,,20.0P,lb,光1,
2,巴西 西冷(NATURAFRIG),,新兴,,抄碼,巴西,,2024-01-02,,,,,,,21.0P,lb,光1,
3,巴西 西冷(MASTERBOI),,新兴,,抄碼,巴西,BOI BRASIL,2024-01-02,,,,,,,23.0P,lb,光1,
4,巴西 西冷(),,新兴,,抄碼,巴西,MINERVA,2024-01-02,,,,,,,23.8P,lb,光1,
5,巴西 牛柳(FRIBOI)(3/4),,新兴,,抄碼,巴西,BOI BRASIL,2024-01-02,3/4,,,,,,38.0P,lb,光1,
6,巴西 牛柳()(3/4),,新兴,,抄碼,巴西,ANGLO,2024-01-02,3/4,,,,,,38.0P,lb,光1,
7,巴西 牛柳(GJ)(3/4),,新兴,,抄碼,巴西,,2024-01-02,3/4,,,,,,38.5P,lb,光1,
8,巴西 牛柳(GJ)(4/5),,新兴,,抄碼,巴西,,2024-01-02,,,,,,,38.5P,lb,光1,
9,墨哥西 雙層肥牛(),,新兴,,抄碼,墨西哥,SUKARNE,2024-01-02,,,,,,,20.2P,lb,光1,
10,美國 肥牛SP(),,新兴,,抄碼,美國,IBP,2024-01-02,,,,,,,20.0P,lb,光1,
11,山東 雞上髀肉,雞上腿肉,新兴,CHICKEN,12K,,,2024-01-02,,,,,,,14.8K,kg,光1,
12,大連 雞上髀肉(吉農佳),雞上腿肉,新兴,CHICKEN,12K,,,2024-01-02,,,,,,,14.9K,kg,光1,
13,大連 冇皮雞上髀肉(吉農佳),雞上腿肉,新兴,CHICKEN,12K,,,2024-01-02,,,,,,,16.7K,kg,光1,
14,鞍山 冇皮雞上髀肉(禾鳳鳴),雞上腿肉,新兴,CHICKEN,12K,,,2024-01-02,,,,,,,17.2K,kg,光1,
15,巴西 去皮雞髀肉(SEARA),雞白髀,新兴,CHICKEN,12K,巴西,,2024-01-02,去皮,,,,,,8.0P,lb,光1,
16,巴西 雞扒(SEARA),雞扒,新兴,CHICKEN,15K,巴西,,2024-01-02,,,,,,,6.6P,lb,光1,
17,大連 雞扒(300gUP)(吉農佳),雞扒,新兴,CHICKEN,15K,,,2024-01-02,+300G,,,,,,7.3P,lb,光1,
18,鞍山 雞扒(200gUP)(禾鳳鳴),雞扒,新兴,CHICKEN,15K,,,2024-01-02,+200G,,,,,,7.2P,lb,光1,
19,鞍山 雞扒(250gUP)(禾鳳鳴),雞扒,新兴,CHICKEN,15K,,,2024-01-02,,,,,,,清,lb,光1,
20,鞍山 小胸肉(IQF)(禾鳳鳴),雞柳,新兴,CHICKEN,10K,,,2024-01-02,,,,,,,13.4K,kg,光1,
21,鞍山 冇皮大胸肉(禾鳳鳴),,新兴,,12K,,,2024-01-02,,,,,,,12.8K,kg,光1,
22,美國 鳳爪(HOUSE OF RAEFORD),,新兴,,44.09P,美國,,2024-01-02,,,,,,,9.5P,lb,光1,
23,大連 中翼(銘川)(50g+)(IQF),雞中翼,新兴,CHICKEN,10K,中國,,2024-01-02,50G+,,,,,,17.0P,lb,光1,
24,鞍山 中翼(禾鳳鳴)(50g+)(IQF),雞中翼,新兴,CHICKEN,10K,中國,,2024-01-02,50G+,,,,,,17.8P,lb,光1,
25,巴西 中翼(GUI BON),雞中翼,新兴,CHICKEN,15K,巴西,,2024-01-02,,,,,,,清,lb,裕林,
26,鞍山 雞全髀(禾鳳鳴)(20-22)(24-26),雞白髀,新兴,CHICKEN,15K,,,2024-01-02,,,,,,,7.7P,lb,光1,
27,鞍山 雞全髀(禾鳳鳴)(26-28),雞白髀,新兴,CHICKEN,15K,,,2024-01-02,,,,,,,7.2P,lb,光1,
28,鞍山 雞全髀(禾鳳鳴)(28-30)(30-32)(32-34),雞白髀,新兴,CHICKEN,15K,,,2024-01-02,2/3,,,,,,6.4P,lb,光1,
29,中國 梅肉(白盒)(優選),豬梅肉,新兴,PORK,25K,中國,,2024-01-02,,,,,,,28.0K,kg,光1,
30,中國 梅肉(白盒)(精制),豬梅肉,新兴,PORK,25K,中國,,2024-01-02,,,,,,,33.0K,kg,光1,
31,中國 豬面肉(精品),,新兴,,25K,中國,,2024-01-02,,,,,,,34.0K,kg,光1,
32,中國 豬寸骨(1Kg x 10包),,新兴,,10K,中國,,2024-01-02,,,,,,,53.5K,kg,光1,
33,巴西 梅肉(SEARA),豬梅肉,新兴,PORK,抄碼,巴西,,2024-01-02,,,,,,,9.6P,lb,光1,
34,巴西 梅肉(FRIVATTI),豬梅肉,新兴,PORK,抄碼,巴西,,2024-01-02,,,,,,,10.0P,lb,光1,
35,巴西 梅肉(),豬梅肉,新兴,PORK,抄碼,巴西,ALIBEM,2024-01-02,,,,,,,10.5P,lb,光1,
36,巴西 梅肉(ENCIA),豬梅肉,新兴,PORK,20K,巴西,EXCEL,2024-01-02,,,,,,,清,lb,光1,
