,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
0,特品 豬面肉 (150g+) ,,有成,,25KG,中國,,2023/6/29,50G+,,,,,,33.5/KG,kg,光1,新
1,精品 豬面肉 (250-300g) ,,有成,,25KG,中國,,2023/6/29,+300G,,,,,,35/KG,kg,光1,新
2,豬大腸頭 ,豬大腸,有成,PORK,10KG,中國,,2023/6/29,,,,,,,26/KG,kg,光1,None
3,- 豬寸骨 ,,有成,,20KG,中國,,2023/6/29,,,,,,,54/KG,kg,光1,None
4,優質 梅肉 ,豬梅肉,有成,PORK,25KG,中國,,2023/6/29,,,,,,,30/KG,kg,亞洲,None
5,特優 梅肉 ,豬梅肉,有成,PORK,25KG,中國,,2023/6/29,,,,,,,40/KG,kg,亞洲,None
6,ANIMEX 梅肉 (10023802廠) ,豬梅肉,有成,PORK,25KG,波蘭,EXCEL,2023/6/29,,,,,,,16.2/LB,lb,光1,None
7,MK 梅肉 (綠盒) ,豬梅肉,有成,PORK,抄碼,波蘭,,2023/6/29,,,,,,,14.5/LB,lb,光1,None
8,ALEGRA 梅肉 ,豬梅肉,有成,PORK,抄碼,巴西,,2023/6/29,,,,,,,11.1/LB,lb,光1,None
9,PALMALI 梅肉 威強/,豬梅肉,有成,PORK,20KG,巴西,,2023/6/29,,,,,,,10.5/LB,lb,光1,None
10,PALMALI 二肉 ,豬二肉,有成,PORK,抄碼,巴西,,2023/6/29,,,,,,,8.8/LB,lb,威強,None
11,FRICASA 三肉 ,豬肉眼,有成,PORK,抄碼,巴西,,2023/6/29,,,,,,,12.8/LB,lb,其士,清
12,PALMALI 四肉 威強/,豬四肉,有成,PORK,抄碼,巴西,,2023/6/29,,,,,,,8.9/LB,lb,光1,None
13,SEARA 豬手 ,,有成,,18K,巴西,,2023/6/29,,,,,,,3.2/LB,lb,其士,None
14,PALMALI 百萬利 豬扒 100件上 $7.4/LB ,豬扒,有成,PORK,抄碼,巴西,,2023/6/29,,,,,,,7.6/LB,lb,光1,None
15,DALIA 大利 豬扒 (瘦身) ,豬扒,有成,PORK,抄碼,巴西,,2023/6/29,,,,,,,8/LB,lb,沙2,None
16,SEARA 豬柳梅 (獨立包裝) ,,有成,,18K,巴西,,2023/6/29,,,,,,,10/LB,lb,光1,特
17,SEARA 帶皮片骨豬腩 100件上 $11.2/LB ,挑骨豬腩,有成,PORK,抄碼,巴西,,2023/6/29,帶皮,,,,,,11.5/LB,lb,光1,None
18,NOTABLE 帶皮片骨豬腩 ,挑骨豬腩,有成,PORK,抄碼,巴西,,2023/6/29,帶皮,,,,,,12.3/LB,lb,光1,None
19,MIRATORG 去皮去軟骨挑骨腩 (真空包裝) 100件上 $14.5/LB ,,有成,,抄碼,俄羅斯,,2023/6/29,去皮,去軟骨,,,,,14.8/LB,lb,nan,None
20,"BOSELER 韓版 去皮片骨豬腩 (10078廠,27廠質素) ",挑骨豬腩,有成,PORK,抄碼,德國,,2023/6/29,去皮,,,,,,15.5/LB,lb,威強,None
21,"BOSELER 韓版 去皮去軟骨挑腩 (10078廠,27廠質素) ",挑骨豬腩,有成,PORK,抄碼,德國,,2023/6/29,去皮,去軟骨,,,,,16.5/LB,lb,亞洲,None
22,"BOSELER 韓版 帶皮帶軟骨挑骨腩 (10078廠,27廠質素) ",,有成,,抄碼,德國,,2023/6/29,帶皮,,,,,,15/LB,lb,光1,None
23,,,有成,,抄碼,俄羅斯,,2023/6/29,,,,,,,,lb,nan,None
24,PALMALI 豬肚 ,,有成,,10K,巴西,,2023/6/29,,,,,,,8.5/LB,lb,光1,清
25,PALMALI 熟豬大腸頭 威強/,豬大腸,有成,PORK,10K,巴西,,2023/6/29,,,,,,,7.5/LB,lb,光1,None
26,ALLANA 牛腩 ,牛腩,有成,BEEF,25K,,,2023/6/29,,,,,,,8.2/LB,lb,亞洲,↓
27,牛前 ,,有成,,25K,,,2023/6/29,,,,,,,8.2/LB,lb,光1,None
