,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
1,Short Plate 肥牛 愛爾蘭 Dawn Meat,SHORT PLATE肥牛,汉国,BEEF,抄碼,愛爾蘭,DAWN MEAT,2024-03-28,,,,,,,22.50,lb,其士,
2,Short Plate 肥牛 愛爾蘭 Kepak,SHORT PLATE肥牛,汉国,BEEF,抄碼,愛爾蘭,,2024-03-28,,,,,,,22.50,lb,其士,
3,牛柳 3-4 巴西 Anglo,,汉国,,抄碼,巴西,ANGLO,2024-03-28,3/4,,,,,,38.00,lb,光1,
4,牛柳 3-4 巴西 Masterboi,,汉国,,抄碼,巴西,BOI BRASIL,2024-03-28,3/4,,,,,,44.50,lb,其士,
5,牛柳 3-4 無邊 VP 巴西 Pantanal,,汉国,,抄碼,巴西,PANTANAL,2024-03-28,3/4,,,,,,38.00,lb,光1,
6,牛肋條 墨西哥 Sukarne,,汉国,,抄碼,墨西哥,SUKARNE,2024-03-28,,,,,,,23.50,lb,其士,
7,牛腩 印度 Alanna 黃盒,牛腩,汉国,BEEF,25KG,,,2024-03-28,,,,,,,10.00,lb,nan,
8,西冷 3條 巴西 Beauvallet,,汉国,,抄碼,巴西,,2024-03-28,,,,,,,22.70,lb,嘉威,
9,西冷 4+ 巴西 Anglo,,汉国,,抄碼,巴西,ANGLO,2024-03-28,,,,,,,23.00,lb,其士,
10,西冷 4+ 巴西 Boi Brazil,,汉国,,抄碼,巴西,BOI BRASIL,2024-03-28,,,,,,,22.00,lb,其士,
11,西冷 4+ 巴西 Pantanal,,汉国,,抄碼,巴西,PANTANAL,2024-03-28,,,,,,,22.60,lb,其士,
12,西冷 4+ 巴西 Plena,,汉国,,抄碼,巴西,PLENA,2024-03-28,,,,,,,22.60,lb,其士,
13,西冷 巴西 Minerva,,汉国,,抄碼,巴西,MINERVA,2024-03-28,,,,,,,24.00,lb,光1,
14,柏葉 阿根廷 Bustos 4750,牛柏葉,汉国,BEEF,12KG,阿根廷,,2024-03-28,,,,,,,22.00,lb,嘉威,
15,牛尾 阿根廷 Forres,,汉国,,10KG,阿根廷,,2024-03-28,,,,,,,14.20,lb,其士,
16,牛尾 阿根廷 Frimsa,,汉国,,10KG,阿根廷,,2024-03-28,,,,,,,14.20,lb,其士,
17,牛尾 阿根廷 Ifssa,,汉国,,10KG,阿根廷,,2024-03-28,,,,,,,14.20,lb,其士,
18,牛尾 阿根廷 Meatex,,汉国,,10KG,阿根廷,EXCEL,2024-03-28,,,,,,,14.20,lb,其士,
19,牛筋 巴西 Gejota,,汉国,,抄碼,巴西,GEJOTA,2024-03-28,,,,,,,15.80,lb,其士,
20,牛筋 巴西 Gold Beef,,汉国,,10KG,巴西,GOLD BEEF ,2024-03-28,,,,,,,13.70,lb,其士,
21,牛筋 巴西 Mataboi,,汉国,,抄碼,巴西,BOI BRASIL,2024-03-28,,,,,,,13.70,lb,其士,
22,牛筋 巴西 Minerva,,汉国,,抄碼,巴西,MINERVA,2024-03-28,,,,,,,13.70,lb,其士,
23,牛筋 巴西 Pantanal,,汉国,,抄碼,巴西,PANTANAL,2024-03-28,,,,,,,14.70,lb,其士,
24,牛筋 巴西 Plena,,汉国,,抄碼,巴西,PLENA,2024-03-28,,,,,,,13.70,lb,其士,
25,牛筋 阿根廷 Offal,,汉国,,20KG,阿根廷,OFFAL,2024-03-28,,,,,,,9.90,lb,其士,
26,牛筋 阿根廷 Offal,,汉国,,20KG,阿根廷,OFFAL,2024-03-28,,,,,,,9.90,lb,嘉威,
27,金肚 澳洲 AMH,,汉国,,抄碼,澳洲,,2024-03-28,,,,,,,20.20,lb,光1,
28,牛舌 900g+ 巴西 Gejota 直脷,牛舌,汉国,BEEF,抄碼,巴西,GEJOTA,2024-03-28,+900G,直,,,,,8.40,lb,嘉威,
29,牛舌 巴西 Frialto,牛舌,汉国,BEEF,抄碼,巴西,FRIALTO,2024-03-28,,,,,,,11.00,lb,嘉威,
30,牛大腸 阿根廷 Ifssa,豬大腸,汉国,PORK,10KG,阿根廷,,2024-03-28,,,,,,,6.90,lb,其士,
31,牛小腸 阿根廷 Frimsa,,汉国,,15KG,阿根廷,,2024-03-28,,,,,,,6.90,lb,其士,
32,牛小腸 阿根廷 Ifssa,,汉国,,10KG,阿根廷,,2024-03-28,,,,,,,6.90,lb,其士,
33,牛肺 巴西 Mondelli,,汉国,,抄碼,巴西,MONDELLI,2024-03-28,,,,,,,4.00,lb,其士,
34,牛肺 阿根廷 Forres,,汉国,,10KG,阿根廷,,2024-03-28,,,,,,,4.30,lb,其士,
35,牛肺 阿根廷 Frimsa,,汉国,,10KG,阿根廷,,2024-03-28,,,,,,,4.30,lb,其士,
36,牛肺 阿根廷 Ifssa,,汉国,,10KG,阿根廷,,2024-03-28,,,,,,,4.30,lb,其士,
37,牛肺阿根廷Bustos,,汉国,,10KG,阿根廷,,2024-03-28,,,,,,,4.30,lb,其士,
38,牛仔骨 (6/7/8) 愛爾蘭 Boyne,,汉国,,抄碼,愛爾蘭,,2024-03-28,,,,,,,25.00,lb,沙2,
39,牛仔骨 (6/7/8) 愛爾蘭 Dawn Meat,,汉国,,抄碼,愛爾蘭,DAWN MEAT,2024-03-28,,,,,,,26.00,lb,光1,
40,牛柳頭 1+ 巴西 Boi Brazil,牛柳頭,汉国,BEEF,抄碼,巴西,BOI BRASIL,2024-03-28,,,,,,,22.50,lb,其士,
41,牛柳頭 1.5+ 巴西 Quality Beef,牛柳頭,汉国,BEEF,抄碼,巴西,QUALITY BEEF,2024-03-28,,,,,,,23.50,lb,其士,
42,牛柳頭 巴西 Masterboi,牛柳頭,汉国,BEEF,抄碼,巴西,BOI BRASIL,2024-03-28,,,,,,,22.50,lb,光1,
43,牛冧 巴西 Plena,牛冧,汉国,BEEF,抄碼,巴西,PLENA,2024-03-28,,,,,,,18.50,lb,光1,
44,牛冧 巴西 Valencia,牛冧,汉国,BEEF,抄碼,巴西,,2024-03-28,,,,,,,18.40,lb,嘉威,
