Column1,productName,productTag,supplier,category,packing,origin,brand,effectivedate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
1,12 KG 美國 M 雞扒 10.60/磅 Mountaire,雞扒,泰兴,CHICKEN,,美國,,14/10/2024,,,,,,,10.6,kg,[],
2,30 磅 Case Farm 珍寶雞比 7.20/磅,,泰兴,,,,CASEFARM,14/10/2024,,,,,,,7.2,lb,[],
3,12 KG Super Frango 雞扒200克上 7.50/磅,雞扒,泰兴,CHICKEN,,,,14/10/2024,+200G,,,,,,7.5,kg,[],
4,12KG  雞腳 40克上 4.60/磅,,泰兴,,12kg,,AURORA,14/10/2024,,,,,,,4.6,kg,[],
5,12 KG Aurora 帶皮雞扒 7.80/磅 16 小盒/ 箱 ECD 梅菜扣肉 250克 每箱HK$ 256,雞扒,泰兴,CHICKEN,,,AURORA,14/10/2024,帶皮,,,,,,7.8,kg,[],
6,15 KG Aurora 雞全亦 100克上 9.80/磅 12 小盒/箱 ECD 冬瓜 鴨腿湯 600克 每箱HK$ 192,,泰兴,,,,AURORA,14/10/2024,,,,,,,9.8,kg,[],
7,18 KG 大使中亦 16.00/磅 12 小盒/箱 ECD 蟲草花 鴨腿湯 600克 每箱HK$ 192,雞中翼,泰兴,CHICKEN,,中國,DIPLOMATA,14/10/2024,,,,,,,16,kg,[],
8,15 KG Frango Rico 雞中亦 16.50/磅 16 小盒/ 箱 ECD 鎮江骨 200克 每箱HK$ 256,雞中翼,泰兴,CHICKEN,,中國,,14/10/2024,+200G,,,,,,16.5,kg,[],
9,10 KG IQF 雞肝 10.00/磅 16 小盒/ 箱 ECD 栗子燜鴨 250克 每箱HK$ 256,,泰兴,,,,,14/10/2024,,,,,,,10,kg,[],
10,10 KG 中佳 中亦 50克上 22.50/ 磅 16 小盒/ 箱 ECD 魚香茄子 250克 每箱HK$ 256,雞中翼,泰兴,CHICKEN,,中國,,14/10/2024,,,,,,,22.5,kg,[],
11,10 KG 中佳 IQF 小胸 16.80/KG 12 小盒/箱 ECD 雲吞雞湯 600克 每箱HK$ 240,雞柳,泰兴,CHICKEN,,中國,,14/10/2024,,,,,,,16.8,kg,[],
