,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
0, 牛腩 (餅裝),牛腩,浩新,BEEF,抄碼,巴西,DOM GLUTAO,2023-08-03,,,,,,,清,lb,光1,
1, 牛腩,牛腩,浩新,BEEF,抄碼,紐西蘭,SILVER FERN,2023-08-03,,,,,,,清,kg,嘉1,
2, 牛腩 (#15),牛腩,浩新,BEEF,抄碼,紐西蘭,SILVER FERN,2023-08-03,,,,,,,57.0,kg,嘉1,
3, 西冷 4K+,,浩新,,抄碼,巴西,PANTANAL,2023-08-03,4K+,,,,,,26.5,lb,光1,
4,BEAUVALLET 西冷 4K+,,浩新,,抄碼,巴西,,2023-08-03,4K+,,,,,,26.0,lb,光1,
5, 西冷 4K+,,浩新,,抄碼,巴西,DOM GLUTAO,2023-08-03,4K+,,,,,,清,lb,光1,
6,MASTERBOI 西冷 4K+,,浩新,,抄碼,巴西,BOI BRASIL,2023-08-03,4K+,,,,,,清,lb,光1,
7, PS 西冷 4K+,,浩新,,抄碼,紐西蘭,SILVER FERN,2023-08-03,4K+,,,,,,46.0,lb,嘉1,
8, PR 西冷 3K+,,浩新,,抄碼,紐西蘭,SILVER FERN,2023-08-03,,,,,,,34.0,lb,嘉1,
9, PR 西冷 2K+,,浩新,,抄碼,紐西蘭,SILVER FERN,2023-08-03,2K+,,,,,,30.0,lb,嘉1,
10, Bull 西冷 3K+,,浩新,,抄碼,紐西蘭,SILVER FERN,2023-08-03,,,,,,,清,lb,嘉1,
11, 牛柳頭 1K+,牛柳頭,浩新,BEEF,抄碼,巴西,PANTANAL,2023-08-03,,,,,,,25.5,lb,光1,
12,BEAUVALLET 牛柳頭 1K+,牛柳頭,浩新,BEEF,抄碼,巴西,,2023-08-03,,,,,,,25.0,lb,光1,
13, 牛柳頭 1K+,牛柳頭,浩新,BEEF,抄碼,巴西,DOM GLUTAO,2023-08-03,,,,,,,清,lb,光1,
14,MASTERBOI 牛柳頭 1K+,牛柳頭,浩新,BEEF,抄碼,巴西,BOI BRASIL,2023-08-03,,,,,,,25.5,lb,光1,
15,LKJ 牛柳頭 1K+,牛柳頭,浩新,BEEF,抄碼,巴西,,2023-08-03,,,,,,,清,lb,光1,
16, PS 牛肉眼 4K+,牛肉眼,浩新,BEEF,抄碼,紐西蘭,SILVER FERN,2023-08-03,4K+,,,,,,59.0,lb,嘉1,
17, PS 牛肉眼 3-4K+,牛肉眼,浩新,BEEF,抄碼,紐西蘭,SILVER FERN,2023-08-03,3/4,4K+,,,,,清,lb,嘉1,
18, PR 牛肉眼 3-4K+,牛肉眼,浩新,BEEF,抄碼,紐西蘭,SILVER FERN,2023-08-03,3/4,4K+,,,,,48.0,lb,嘉1,
19, A 牛肉眼 2-3K,牛肉眼,浩新,BEEF,抄碼,紐西蘭,SILVER FERN,2023-08-03,2/3,,,,,,28.0,lb,嘉1,
20, A 牛肉眼 3-4K,牛肉眼,浩新,BEEF,抄碼,紐西蘭,SILVER FERN,2023-08-03,3/4,4K+,,,,,34.0,lb,嘉1,
21, A 牛肉眼 4-6K,牛肉眼,浩新,BEEF,抄碼,紐西蘭,SILVER FERN,2023-08-03,,,,,,,34.5,lb,嘉1,
22, YGE 牛肉眼 3.1K+,牛肉眼,浩新,BEEF,抄碼,澳洲,MIDFIELD,2023-08-03,,,,,,,35.0,lb,嘉1,
23, A 牛肉眼 3.1K+,牛肉眼,浩新,BEEF,抄碼,澳洲,MIDFIELD,2023-08-03,,,,,,,28.0,lb,嘉1,
24, 牛柳 1.3-1.8K,,浩新,,抄碼,紐西蘭,SILVER FERN,2023-08-03,,,,,,,72.0,lb,嘉1,
25, 牛柳 1.8-2.2K,,浩新,,抄碼,紐西蘭,SILVER FERN,2023-08-03,,,,,,,72.0,lb,嘉1,
26,MASTERBOI 牛柳 3/4 直條去邊,,浩新,,抄碼,巴西,BOI BRASIL,2023-08-03,3/4,直,,,,,43.0,lb,光1,
27,MASTERBOI 牛柳 4/5 直條去邊,,浩新,,抄碼,巴西,BOI BRASIL,2023-08-03,直,,,,,,清,lb,光1,
28, 牛柳 3/4 直條去邊,,浩新,,抄碼,巴西,DOM GLUTAO,2023-08-03,3/4,直,,,,,43.5,lb,光1,
29, 牛柳 4/5 直條去邊,,浩新,,抄碼,巴西,DOM GLUTAO,2023-08-03,直,,,,,,清,lb,光1,
30, 牛柳 3/4 直條去邊,,浩新,,抄碼,巴西,PANTANAL,2023-08-03,3/4,直,,,,,43.0,lb,光1,
31, 牛柳 4/5 直條去邊,,浩新,,抄碼,巴西,PANTANAL,2023-08-03,直,,,,,,43.0,lb,光1,
32, 牛柳 5+ 直條去邊,,浩新,,抄碼,巴西,PANTANAL,2023-08-03,直,,,,,,43.0,lb,光1,
33, 牛冧,牛冧,浩新,BEEF,抄碼,紐西蘭,SILVER FERN,2023-08-03,,,,,,,28.0,lb,嘉1,
34, 牛冧,牛冧,浩新,BEEF,抄碼,澳洲,MIDFIELD,2023-08-03,,,,,,,27.0,lb,嘉1,
35, 牛冧,牛冧,浩新,BEEF,抄碼,巴西,MONDELLI,2023-08-03,,,,,,,24.0,lb,光1,
36, 牛肋條,,浩新,,抄碼,巴西,PANTANAL,2023-08-03,,,,,,,清,lb,光1,
37, 牛肋條,,浩新,,抄碼,巴西,DOM GLUTAO,2023-08-03,,,,,,,清,lb,光1,
38, 牛仔扒,牛仔扒,浩新,BEEF,抄碼,巴西,DOM GLUTAO,2023-08-03,,,,,,,21.0,lb,光1,
39, 牛仔柳,,浩新,,抄碼,紐西蘭,SILVER FERN,2023-08-03,,,,,,,90.0,lb,嘉1,
40, 牛仔肶,,浩新,,抄碼,紐西蘭,SILVER FERN,2023-08-03,,,,,,,29.0,lb,嘉1,
