,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
0,巴 dom glutao 牛前筒骨,牛前筒骨,金山,BEEF,抄,巴西,DOM GLUTAO,2023-07-10 00:00:00,,,,,,, 5 .2,磅,其士,
1,英 國 牛坑腩 uk-9012,牛腩,金山,BEEF,抄,英國,HEWITT,2023-07-10 00:00:00,,,,,,, 8 .0,磅,其士,
2,巴 mataboi 牛坑腩 80vl p-3112,牛腩,金山,BEEF,抄,巴西,MATABOI,2023-07-10 00:00:00,80VL,,,,,, 1 3.5,磅,其士,
3,巴 plena 牛坑腩 80vl,牛腩,金山,BEEF,抄,巴西,PLENA,2023-07-10 00:00:00,80VL,,,,,, 1 3.5,磅,其士,
4,加 excel 牛下肩肉眼卷(1x1) prime p-93,牛下肩肉眼卷,金山,BEEF,抄,加拿大,EXCEL,2023-07-10 00:00:00,1X1,93廠,PRIME,,,, 4 0.0,磅,其士,
5,美 i. b. p 牛下肩肉眼卷(1x1) cab,牛下肩肉眼卷,金山,BEEF,抄,美國,,2023-07-10 00:00:00,1X1,CAB,,,,, 4 0.0,磅,其士,
6,美 excel 肩 胛 翼 prime,,金山,,抄,美國,EXCEL,2023-07-10 00:00:00,PRIME,,,,,, 7 8.0,磅,其士,
7,美 excel 肩 胛 翼 cab,,金山,,抄,美國,EXCEL,2023-07-10 00:00:00,CAB,,,,,, 6 2.0,磅,其士,
8,巴 minerva 牛細腩包 p-2911/451/791,牛仔扒,金山,BEEF,抄,巴西,MINERVA,2023-07-10 00:00:00,,,,,,, 1 6.0,磅,其士,
9,巴 plena 牛細腩包,牛仔扒,金山,BEEF,抄,巴西,PLENA,2023-07-10 00:00:00,,,,,,, 1 6.0,磅,其士,
10,巴 anglo 牛冧,牛冧,金山,BEEF,抄,巴西,ANGLO,2023-07-10 00:00:00,,,,,,, 1 7.5,磅,其士,
11,巴 boi brasil 牛冧,牛冧,金山,BEEF,抄,巴西,BOI BRASIL,2023-07-10 00:00:00,,,,,,, 1 7.5,磅,其士,
12,巴 masterboi 牛冧,牛冧,金山,BEEF,抄,巴西,MASTERBOI,2023-07-10 00:00:00,,,,,,, 1 7.5,磅,其士,
13,巴 minerva 牛冧,牛冧,金山,BEEF,抄,巴西,MINERVA,2023-07-10 00:00:00,,,,,,, 1 7.5,磅,其士,
14,巴 j.a 牛冧,牛冧,金山,BEEF,抄**,巴西,,2023-07-10 00:00:00,,,,,,, 1 7.5,磅,其士,
15,巴 masterboi 鯉魚管,鯉魚管,金山,BEEF,抄,巴西,MASTERBOI,2023-07-10 00:00:00,,,,,,, 2 0.0,磅,其士,
16,美 national 牛肋條,牛肋條,金山,BEEF,抄,美國,NATIONAL BEEF,2023-07-10 00:00:00,,,,,,, 4 1.0,磅,其士,
17,加 canadian diamond 金 錢 𦟌,,金山,,抄,加拿大,CANADIAN DIAMOND,2023-07-10 00:00:00,,,,,,, 2 7.0,磅,其士,
18,加 excel 金 錢 𦟌,,金山,,抄,加拿大,EXCEL,2023-07-10 00:00:00,,,,,,, 2 7.0,磅,其士,
19,美 i. b. p 金 錢 𦟌 choice (有label),,金山,,抄,美國,,2023-07-10 00:00:00,CHOICE,有LABEL,,,,, 3 5.0,磅,其士,
20,美 national 金 錢 𦟌,,金山,,抄,美國,NATIONAL BEEF,2023-07-10 00:00:00,,,,,,, 3 3.5,磅,其士,
21,美 i. b. p 金 錢 𦟌 nr (有label),,金山,,抄,美國,,2023-07-10 00:00:00,NR,有LABEL,,,,, 3 5.0,磅,其士,
22,英 牛仔骨 3 支骨 6/7/8 5106/8046/1598/1541/1958,牛仔骨,金山,BEEF,抄,英國,,2023-07-10 00:00:00,6/7/8,,,,,, 1 8.0,磅,其士,
23,加 excel 牛仔骨 3 支骨 prime p-51,牛仔骨,金山,BEEF,抄,加拿大,EXCEL,2023-07-10 00:00:00,PRIME,,,,,, 6 0.0,磅,其士,
24,美 national 牛仔骨 3 支骨 prime,牛仔骨,金山,BEEF,抄,美國,NATIONAL BEEF,2023-07-10 00:00:00,PRIME,,,,,, 6 0.0,磅,其士,
25,美 i. b. p. 牛仔骨 3 支骨 cab,牛仔骨,金山,BEEF,抄,美國,,2023-07-10 00:00:00,CAB,,,,,, 4 7.0,磅,其士,
26,美 i. b. p. 牛仔骨 3 支骨 choice,牛仔骨,金山,BEEF,抄,美國,,2023-07-10 00:00:00,CHOICE,,,,,, 4 5.0,磅,其士,
27,美 showcase 牛仔骨 3 支骨 select,牛仔骨,金山,BEEF,抄,美國,SHOWCASE,2023-07-10 00:00:00,,,,,,, 3 0.0,磅,其士,
