,productName,productTag,supplier,category,packing,origin,brand,effectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
0,"西冷 美麗華 4+(不分條子, 2-4條庄)",西冷,鸿泰,BEEF,抄,美國,MINERVA,132023,2-4條庄,,,,,,27.00p,lb,其士,
1,西冷 美麗華4+ (#2500廠 ) 3條庄,西冷,鸿泰,BEEF,抄,美國,MINERVA,132023,3條庄,,,,,,27.00p,lb,其士,
2,frigon 西冷,西冷,鸿泰,BEEF,抄,西班牙,FRIGON,132023,,,,,,,26.30p,lb,其士,
3,frigon 牛林,牛冧,鸿泰,BEEF,抄,,FRIGON,132023,,,,,,,23.00p,lb,其士,
4,美麗華 牛柳 留單 41.00p,牛柳,鸿泰,BEEF,抄,美國,MINERVA,132023,,,,,,,41.50p,lb,其士,
5,美麗華 牛柳頭,牛柳頭,鸿泰,BEEF,抄,美國,MINERVA,132023,,,,,,,27.50p,lb,沙2,
6,美麗華 牛柳頭,牛柳頭,鸿泰,BEEF,抄,美國,MINERVA,132023,,,,,,,27.50p,lb,其士,
7,masterboi牛柳頭,牛柳頭,鸿泰,BEEF,抄,,MASTERBOI,132023,,,,,,,25.00p,lb,其士,
8,美麗華牛利,牛舌,鸿泰,BEEF,抄,美國,MINERVA,132023,,,,,,,10.50p,lb,其士,
9,bustos 金肚,,鸿泰,,12k,,BUSTOS,132023,,,,,,,18.20p,lb,其士,
10,bustos牛柏葉 #4750,牛柏葉,鸿泰,BEEF,12k,,BUSTOS,132023,,,,,,,27.80p,lb,其士,
11,美麗華 牛仔扒 (不分廠),牛仔扒,鸿泰,BEEF,抄,美國,MINERVA,132023,,,,,,,20.50p,lb,其士,
12,美麗華 牛肋條,牛肋條,鸿泰,BEEF,抄,美國,MINERVA,132023,,,,,,,21.80p,lb,沙2,
13,美麗華 牛肋條,牛肋條,鸿泰,BEEF,抄,美國,MINERVA,132023,,,,,,,21.80p,lb,其士,
14,excel 牛肋條,牛肋條,鸿泰,BEEF,抄,,EXCEL,132023,,,,,,,28.00p,lb,嘉威,
15,美麗華 牛尾,牛尾,鸿泰,BEEF,抄,美國,MINERVA,132023,,,,,,,20.00p,lb,其士,
16,美麗華孖根,,鸿泰,,抄,美國,MINERVA,132023,,,,,,,7.80p,lb,其士,
17,bustos 孖根#4750,,鸿泰,,15k,,BUSTOS,132023,,,,,,,6.50p,lb,其士,
18,off 孖根#4407,,鸿泰,,20k,,OFFAL,132023,,,,,,,6.40p,lb,其士,
19,frigon 牛腩,牛腩,鸿泰,BEEF,抄,,FRIGON,132023,,,,,,,16.80p,lb,其士,
