id,productName,supplier,category,packing,origin,brand,EffectiveDate,spec1,spec2,spec3,spec4,spec5,spec6,price,weightUnit,warehouse,notes
0,牛坑腩,金山,Beef,抄,英 國,hewitt,30-oct-23.pdf,,,,,,,$ 8 .0,磅,其士,
1,牛下肩肉眼卷,金山,Beef,抄,美,excel,30-oct-23.pdf,1x1,,,,,,$ 3 7.5,磅,其士,
2,牛胸油,金山,Beef,抄**,愛,dawn meat,30-oct-23.pdf,,,,,,,$ 2 5.0,磅,其士,
3,牛頭肉,金山,Beef,25kg,巴,pantanal,30-oct-23.pdf,,,,,,,$ 8 .5,磅,其士,
4,牛細腩包,金山,Beef,抄,巴,minerva,30-oct-23.pdf,,,,,,,$ 1 4.8,磅,其士,
5,牛細腩包,金山,Beef,抄,巴,plena,30-oct-23.pdf,,,,,,,$ 1 4.8,磅,其士,
6,鯉魚管,金山,Beef,抄**,巴,gejota,30-oct-23.pdf,,,,,,,$ 1 9.5,磅,其士,
7,牛肩肋條(有label),金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 4 3.0,磅,其士,
8,金 錢 𦟌 p-38,金山,,抄,加,canadian diamond,30-oct-23.pdf,,,,,,,$ 3 3.5,磅,其士,
9,金 錢 𦟌 choice (有label),金山,,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 3 6.5,磅,其士,
10,金 錢 𦟌 nr (有label),金山,,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 3 6.5,磅,其士,
11,牛 𦟌,金山,Beef,抄,巴,quality beef,30-oct-23.pdf,,,,,,,$ 1 4.0,磅,其士,
12,牛柳頭,金山,Beef,抄,巴,gejota,30-oct-23.pdf,,,,,,,$ 2 6.5,磅,其士,
13,牛柳頭,金山,Beef,抄,巴,minerva,30-oct-23.pdf,,,,,,,$ 2 7.0,磅,其士,
14,牛柳頭,金山,Beef,抄,巴,boi brasil,30-oct-23.pdf,,,,,,,$ 2 6.5,磅,其士,
15,牛柳頭,金山,Beef,抄,巴,boi brasil,30-oct-23.pdf,,,,,,,$ 2 7.0,磅,其士,
16,牛柳頭,金山,Beef,抄,巴,quality beef,30-oct-23.pdf,,,,,,,$ 2 6.5,磅,其士,
17,牛柳頭,金山,Beef,抄,巴,plena,30-oct-23.pdf,,,,,,,$ 2 7.0,磅,其士,
18,牛柳頭,金山,Beef,抄,巴,dom glutao,30-oct-23.pdf,,,,,,,$ 2 6.5,磅,其士,
19,肩胛,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 8 2.5,磅,其士,
20,肩胛,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 8 0.0,磅,其士,
21,肩胛,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 6 3.0,磅,其士,
22,去骨牛小排,金山,Beef,抄,美,excel,30-oct-23.pdf,,,,,,,$ 148.0,磅,其士,
23,去骨牛小排,金山,Beef,抄,美,national beef,30-oct-23.pdf,,,,,,,$ 158.0,磅,其士,
24,去骨牛小排,金山,Beef,抄,美,excel,30-oct-23.pdf,,,,,,,$ 125.0,磅,其士,
25,去骨牛小排,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 113.0,磅,其士,
26,去骨牛小排,金山,Beef,抄,美,excel,30-oct-23.pdf,,,,,,,$ 110.0,磅,其士,
27,肥牛肉 pastrami prime 6x12,金山,Beef,抄**,美,national beef,30-oct-23.pdf,,,,,,,$ 5 2.0,磅,其士,
28,肥牛肉 pastrami prime 6x12,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 5 0.0,磅,其士,
29,肥牛肉 pastrami cab 6x12,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 4 9.0,磅,其士,
30,肥牛肉 pastrami choice 6x12,金山,Beef,抄**,美,national beef,30-oct-23.pdf,,,,,,,$ 4 9.0,磅,其士,
31,肥牛肉 pastrami choice 6x12,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 4 6.0,磅,其士,
32,肥牛肉 pastrami prime 9x12 p-86m/r,金山,Beef,抄,美,excel,30-oct-23.pdf,9x12,,,,,,$ 3 8.0,磅,其士,
33,肥牛肉 pastrami a/aa 9x12 p-93,金山,Beef,抄,加,excel,30-oct-23.pdf,9x12,,,,,,$ 3 4.0,磅,其士,
34,肥牛肉 super obento plate,金山,Beef,抄,墨,sukarne,30-oct-23.pdf,,,,,,,$ 2 0.5,磅,其士,
35,er plate,金山,,抄,英,pif paf,30-oct-23.pdf,,,,,,,$ 2 2.5,磅,其士,
36,肥牛肉 karubi cab prime,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 3 9.5,磅,其士,
37,肥牛肉 karubi cab,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 3 9.0,磅,其士,
38,肥牛肉 karubi choice,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 3 8.0,磅,其士,
39,肥牛肉 no roll short plate,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 2 1.5,磅,其士,
40,肥牛肉 no roll short plate,金山,Beef,抄,美,excel,30-oct-23.pdf,,,,,,,$ 2 1.2,磅,其士,
41,橫隔肌,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 5 0.0,磅,其士,
42,橫隔肌,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 4 8.0,磅,其士,
43,橫隔肌,金山,Beef,抄,美,ibp,30-oct-23.pdf,,,,,,,$ 3 9.0,磅,其士,
44,白牛仔柳,金山,Beef,抄,荷,tboer,30-oct-23.pdf,,,,,,,$ 100.0,磅,其士,
45,牛仔脾 3/5 lb,金山,Beef,抄**,紐,silver fern,30-oct-23.pdf,3/5,,,,,,$ 2 8.0,磅,其士,
46,牛仔脾 5+ lb,金山,Beef,抄**,紐,silver fern,30-oct-23.pdf,,,,,,,$ 2 8.0,磅,其士,
47,豬肋排,金山,Pork,抄,美,smithfield,30-oct-23.pdf,零售,,,,,,$ 2 5.0,磅,其士,
48,豬四肉,金山,Pork,抄,巴,alegra,30-oct-23.pdf,,,,,,,$ 8 .6,磅,其士,
49,豬四肉,金山,Pork,25kg,巴,frimesa,30-oct-23.pdf,,,,,,,$ 9 .0,磅,其士,
50,豬四肉,金山,Pork,抄,巴,palmali,30-oct-23.pdf,,,,,,,$ 8 .6,磅,其士,
51,豬下梅肉,金山,Pork,抄,西,artigas duroc,30-oct-23.pdf,,,,,,,$ 3 5.0,磅,其士,
52,豬扒,金山,Pork,抄,西,artigas duroc,30-oct-23.pdf,,,,,,,$ 4 2.0,磅,其士,
53,豬背骨,金山,Pork,抄,西,pernam ibericos,30-oct-23.pdf,,,,,,,$ 6 5.0,kg,其士,
54,豬梅肉,金山,Pork,抄,西,jamondul ibericos,30-oct-23.pdf,,,,,,,$ 198.0,kg,其士,
55,豬下梅肉,金山,Pork,抄,西,jamondul ibericos,30-oct-23.pdf,,,,,,,$ 140.0,kg,其士,
56,豬扒,金山,Pork,抄,西,jamondul ibericos,30-oct-23.pdf,,,,,,,$ 190.0,kg,其士,
57,豬大腸,金山,Pork,21kg,巴,dalia,30-oct-23.pdf,,,,,,,$ 1 1.0,磅,其士,
58,豬肚,金山,Pork,10kg,巴,aurora,30-oct-23.pdf,,,,,,,$ 1 0.5,磅,其士,
59,豬舌,金山,Pork,18kg,巴,frimesa,30-oct-23.pdf,,,,,,,$ 7 .0,磅,其士,
60,豬手,金山,Pork,18kg,巴,seara,30-oct-23.pdf,,,,,,,$ 4 .0,磅,其士,
61,後筒骨,金山,Pork,20kg,波,,30-oct-23.pdf,,,,,,,$ 2 .4,磅,其士,
62,豬前筒骨,金山,Pork,20kg,波,,30-oct-23.pdf,,,,,,,$ 2 .4,磅,其士,
63,豬軟骨,金山,Pork,10kg*,德,tonnies,30-oct-23.pdf,,,,,,,$ 1 4.5,磅,其士,
64,牛坑腩,金山,Beef,抄,英 國,hewitt,11-sep-23.pdf,,,,,,,$ 8 .0,磅,其士,
65,牛坑腩,金山,Beef,抄,巴,boi brasil,11-sep-23.pdf,,,,,,,$ 1 3.3,磅,其士,
66,牛坑腩,金山,Beef,抄,巴,plena,11-sep-23.pdf,,,,,,,$ 1 3.3,磅,其士,
67,牛下肩肉眼卷,金山,Beef,抄,美,ibp,11-sep-23.pdf,1x1,,,,,,$ 4 3.0,磅,其士,
68,牛下肩肉眼卷,金山,Beef,抄,加,excel,11-sep-23.pdf,1x1,,,,,,$ 4 1.0,磅,其士,
69,牛頭肉,金山,Beef,25kg,巴,pantanal,11-sep-23.pdf,,,,,,,$ 8 .5,磅,其士,
70,牛細腩包,金山,Beef,抄,巴,minerva,11-sep-23.pdf,,,,,,,$ 1 4.8,磅,其士,
71,牛細腩包,金山,Beef,抄,巴,plena,11-sep-23.pdf,,,,,,,$ 1 4.8,磅,其士,
72,牛冧,金山,Beef,抄,巴,anglo,11-sep-23.pdf,,,,,,,$ 1 7.5,磅,其士,
73,牛冧,金山,Beef,抄,巴,boi brasil,11-sep-23.pdf,,,,,,,$ 1 7.5,磅,其士,
74,牛冧,金山,Beef,抄,紐,affco,11-sep-23.pdf,,,,,,,$ 2 6.5,磅,其士,
75,牛肩肋條(有label),金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 4 3.0,磅,其士,
76,牛肋條,金山,Beef,抄,美,national beef,11-sep-23.pdf,,,,,,,$ 4 1.0,磅,其士,
77,金 錢 𦟌,金山,,抄,美,national beef,11-sep-23.pdf,,,,,,,$ 3 3.5,磅,其士,
78,金 錢 𦟌 choice (有label),金山,,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 3 5.0,磅,其士,
79,金 錢 𦟌 nr (有label),金山,,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 3 5.0,磅,其士,
80,牛 前 𦟌,金山,Beef,抄,巴,boi brasil,11-sep-23.pdf,,,,,,,$ 1 2.0,磅,其士,
81,肩胛,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 8 2.5,磅,其士,
82,肩胛,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 8 0.0,磅,其士,
83,肩胛,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 8 0.0,磅,其士,
84,肩胛,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 8 0.0,磅,其士,
85,肩胛,金山,Beef,抄,美,ibp,11-sep-23.pdf,,,,,,,$ 5 9.0,磅,其士,
