,重量,貨名,單價,單位,倉位,date,Origin,brand,name,grade,category
0,抄,英 國 牛坑腩 uk-9012,$ 8 .0,磅,其士,30-oct-23.pdf,英 國,hewitt,牛坑腩,,Beef
1,抄,美 excel 牛下肩肉眼卷(1x1) choice,$ 3 7.5,磅,其士,30-oct-23.pdf,美,excel,牛下肩肉眼卷,1x1,Beef
2,抄**,愛 dawn meat 牛胸油,$ 2 5.0,磅,其士,30-oct-23.pdf,愛,dawn meat,牛胸油,,Beef
3,25kg,巴 pantanal 牛頭肉,$ 8 .5,磅,其士,30-oct-23.pdf,巴,pantanal,牛頭肉,,Beef
4,抄,巴 minerva 牛細腩包,$ 1 4.8,磅,其士,30-oct-23.pdf,巴,minerva,牛細腩包,,Beef
5,抄,巴 plena 牛細腩包,$ 1 4.8,磅,其士,30-oct-23.pdf,巴,plena,牛細腩包,,Beef
6,抄**,巴 gejota 鯉魚管,$ 1 9.5,磅,其士,30-oct-23.pdf,巴,gejota,鯉魚管,,Beef
7,抄,美 i. b. p. 牛肩肋條(有label),$ 4 3.0,磅,其士,30-oct-23.pdf,美,ibp,牛肩肋條(有label),,Beef
8,抄,加 canadian diamond 金 錢 𦟌 p-38,$ 3 3.5,磅,其士,30-oct-23.pdf,加,canadian diamond,金 錢 𦟌 p-38,,
9,抄,美 i. b. p 金 錢 𦟌 choice (有label),$ 3 6.5,磅,其士,30-oct-23.pdf,美,ibp,金 錢 𦟌 choice (有label),,
10,抄,美 i. b. p 金 錢 𦟌 nr (有label),$ 3 6.5,磅,其士,30-oct-23.pdf,美,ibp,金 錢 𦟌 nr (有label),,
11,抄,巴 quality beef 牛 𦟌,$ 1 4.0,磅,其士,30-oct-23.pdf,巴,quality beef,牛 𦟌,,Beef
12,抄,巴 gejota 牛柳頭 1k+,$ 2 6.5,磅,其士,30-oct-23.pdf,巴,gejota,牛柳頭,,Beef
13,抄,巴 minerva 牛柳頭 1k+,$ 2 7.0,磅,其士,30-oct-23.pdf,巴,minerva,牛柳頭,,Beef
14,抄,巴 boi brasil 牛柳頭 1-1.5k,$ 2 6.5,磅,其士,30-oct-23.pdf,巴,boi brasil,牛柳頭,,Beef
15,抄,巴 masterboi 牛柳頭 1.5k+,$ 2 7.0,磅,其士,30-oct-23.pdf,巴,boi brasil,牛柳頭,,Beef
16,抄,巴 quality beef 牛柳頭 1.5-2k,$ 2 6.5,磅,其士,30-oct-23.pdf,巴,quality beef,牛柳頭,,Beef
17,抄,巴 plena 牛柳頭 2k+,$ 2 7.0,磅,其士,30-oct-23.pdf,巴,plena,牛柳頭,,Beef
18,抄,巴 dom glutao 牛柳頭 2k+,$ 2 6.5,磅,其士,30-oct-23.pdf,巴,dom glutao,牛柳頭,,Beef
19,抄,美 i. b. p. 肥牛肉肩胛 cab prime p-245c,$ 8 2.5,磅,其士,30-oct-23.pdf,美,ibp,肩胛,,Beef
20,抄,美 i. b. p. 肥牛肉肩胛 prime,$ 8 0.0,磅,其士,30-oct-23.pdf,美,ibp,肩胛,,Beef
21,抄,美 i. b. p. 肥牛肉肩胛 cab p-278,$ 6 3.0,磅,其士,30-oct-23.pdf,美,ibp,肩胛,,Beef
22,抄,美 excel 去骨牛小排 prime p-86e,$ 148.0,磅,其士,30-oct-23.pdf,美,excel,去骨牛小排,,Beef
23,抄,美 national 去骨牛小排 prime,$ 158.0,磅,其士,30-oct-23.pdf,美,national beef,去骨牛小排,,Beef
24,抄,美 excel 去骨牛小排 cab,$ 125.0,磅,其士,30-oct-23.pdf,美,excel,去骨牛小排,,Beef
25,抄,美 ibp 去骨牛小排 choice,$ 113.0,磅,其士,30-oct-23.pdf,美,ibp,去骨牛小排,,Beef
26,抄,美 excel 去骨牛小排 choice p-86e,$ 110.0,磅,其士,30-oct-23.pdf,美,excel,去骨牛小排,,Beef
27,抄**,美 national 肥牛肉 pastrami prime 6x12,$ 5 2.0,磅,其士,30-oct-23.pdf,美,national beef,肥牛肉 pastrami prime 6x12,,Beef
28,抄,美 ibp 肥牛肉 pastrami prime 6x12,$ 5 0.0,磅,其士,30-oct-23.pdf,美,ibp,肥牛肉 pastrami prime 6x12,,Beef
29,抄,美 ibp 肥牛肉 pastrami cab 6x12,$ 4 9.0,磅,其士,30-oct-23.pdf,美,ibp,肥牛肉 pastrami cab 6x12,,Beef
30,抄**,美 national 肥牛肉 pastrami choice 6x12,$ 4 9.0,磅,其士,30-oct-23.pdf,美,national beef,肥牛肉 pastrami choice 6x12,,Beef
31,抄,美 ibp 肥牛肉 pastrami choice 6x12,$ 4 6.0,磅,其士,30-oct-23.pdf,美,ibp,肥牛肉 pastrami choice 6x12,,Beef
32,抄,美 excel 肥牛肉 pastrami prime 9x12 p-86m/r,$ 3 8.0,磅,其士,30-oct-23.pdf,美,excel,肥牛肉 pastrami prime 9x12 p-86m/r,9x12,Beef
33,抄,加 excel 肥牛肉 pastrami a/aa 9x12 p-93,$ 3 4.0,磅,其士,30-oct-23.pdf,加,excel,肥牛肉 pastrami a/aa 9x12 p-93,9x12,Beef
34,抄,墨 sukarne 肥牛肉 super obento plate,$ 2 0.5,磅,其士,30-oct-23.pdf,墨,sukarne,肥牛肉 super obento plate,,Beef
35,抄,英國 肥牛肉 super upper plate,$ 2 2.5,磅,其士,30-oct-23.pdf,英,pif paf,er plate,,
36,抄,美 ibp 肥牛肉 karubi cab prime,$ 3 9.5,磅,其士,30-oct-23.pdf,美,ibp,肥牛肉 karubi cab prime,,Beef
